Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
83,0,0.525058,-0.651326,0.946788,-728.393921,-793.178406,373.978516
84,0,0.536821,-0.649487,0.969019,-727.964111,-792.805237,374.048859
85,0,-0.203485,-0.703323,-0.293042,-729.372437,-793.36554,374.157623
86,0,-0.210487,-0.702604,-0.306064,-729.370972,-793.427185,374.164673
87,0,-0.201191,-0.704469,-0.290652,-729.106323,-793.291138,374.149261
88,0,-0.303457,-0.691574,-0.464909,-729.4599,-793.414124,374.06189
89,0,-0.295277,-0.692926,-0.451259,-729.209778,-793.322327,374.125214
90,0,-0.295068,-0.693197,-0.450778,-729.40094,-793.442932,374.156982
91,0,-0.336195,-0.687048,-0.521349,-729.414246,-793.398682,374.071106
92,0,-0.328332,-0.688675,-0.507458,-729.132568,-793.256348,374.111816
93,0,-0.320436,-0.689697,-0.493946,-729.190735,-793.239685,374.085938
94,0,-0.319441,-0.689699,-0.492036,-729.369629,-793.448547,374.111633
95,0,-0.326685,-0.688132,-0.504163,-729.388367,-793.392578,374.125916
96,0,-0.33181,-0.68752,-0.515562,-729.323364,-793.444092,374.154022
97,0,-0.340254,-0.685807,-0.527474,-729.509338,-793.40271,374.02951
98,0,-0.35534,-0.683507,-0.553639,-729.439392,-793.401184,374.041168
99,0,-0.362157,-0.68297,-0.565311,-729.381897,-793.356384,374.142059
100,0,-0.18544,-0.708001,-0.270467,-729.770874,-793.689514,374.079529
101,0,-0.179634,-0.708518,-0.260486,-729.70282,-793.653442,374.087189
102,0,-0.186911,-0.707543,-0.27219,-729.786865,-793.65625,374.012329
103,0,-0.193222,-0.706954,-0.283816,-729.798096,-793.639038,373.987518
104,0,-0.18698,-0.707416,-0.272773,-729.69696,-793.670044,374.14624
105,0,-0.193285,-0.707327,-0.284104,-729.781006,-793.641052,373.990082
106,0,-0.192232,-0.706949,-0.281301,-729.752502,-793.652283,374.061584
107,0,-0.194885,-0.706756,-0.28706,-729.765564,-793.649536,374.030487
108,0,-0.189156,-0.70806,-0.276369,-729.66864,-793.670959,374.124268
109,0,-0.1935,-0.706926,-0.284665,-729.742004,-793.640564,374.062378
110,0,-0.199134,-0.706617,-0.293785,-729.863403,-793.68634,374.023895
111,0,-0.191531,-0.708095,-0.280652,-729.674194,-793.66687,374.146149
112,0,-0.186341,-0.707993,-0.272283,-729.721436,-793.736633,374.127014
113,0,-0.172972,-0.710212,-0.24938,-729.531616,-793.523438,374.091431
114,0,-0.135557,-0.711742,-0.185215,-729.716248,-793.699768,374.092102
115,0,0.554495,-0.651629,0.995986,-728.288269,-793.196533,373.941681
116,0,0.554856,-0.649921,0.995468,-728.645325,-793.440308,373.97171
117,0,0.5415,-0.653304,0.972912,-728.614014,-793.474976,373.988708
118,0,0.571334,-0.65504,1.043281,-727.420837,-793.208679,373.45282
119,0,0.587275,-0.649697,1.071282,-727.479736,-793.265686,373.448212
120,0,0.602894,-0.645359,1.097868,-727.496704,-793.296631,373.444733
121,0,0.617763,-0.64089,1.122713,-727.452026,-793.269165,373.45993
122,0,0.631266,-0.636667,1.147365,-727.465332,-793.308716,373.45517
123,0,0.643837,-0.632394,1.170069,-727.492004,-793.293274,373.399231
124,0,0.656946,-0.628484,1.191211,-727.448486,-793.315918,373.442383
125,0,0.66859,-0.62445,1.212356,-727.422668,-793.292969,373.465851
126,0,0.683592,-0.618989,1.23856,-727.435425,-793.292358,373.449982
127,0,0.695803,-0.61469,1.259484,-727.477478,-793.342896,373.430023
128,0,0.705861,-0.611766,1.276988,-727.408813,-793.243469,373.445709
129,0,0.716606,-0.607435,1.295317,-727.398743,-793.271179,373.449951
130,0,-0.209932,-0.705137,-0.313033,-729.768433,-793.728516,374.030823
131,0,-0.203247,-0.706421,-0.301012,-729.706421,-793.656128,374.09259
132,0,-0.198072,-0.707008,-0.291562,-729.72583,-793.661011,374.115173
133,0,-0.177709,-0.708908,-0.257593,-729.685852,-793.673035,374.136322
134,0,-0.182016,-0.708251,-0.26422,-729.741638,-793.658508,374.094238
135,0,-0.185902,-0.707842,-0.271849,-729.689087,-793.670166,374.088745
136,0,0.537033,-0.648338,0.96938,-727.968567,-792.756409,373.969482
137,0,0.549437,-0.646282,0.990351,-727.956177,-792.724426,373.989227
138,0,0.560959,-0.642084,1.010368,-727.894592,-792.718872,373.995178
139,0,0.572971,-0.638773,1.030153,-727.953674,-792.737671,374.021057
140,0,0.582937,-0.637008,1.046911,-727.946594,-792.73114,373.997437
141,0,0.59156,-0.634453,1.062184,-727.925842,-792.743591,374.022522
142,0,-0.219915,-0.701825,-0.321149,-729.297607,-793.336243,374.13147
143,0,-0.228061,-0.701157,-0.334803,-729.441467,-793.336548,374.081848
144,0,-0.219489,-0.702934,-0.319586,-729.168152,-793.242188,374.073273
145,0,-0.340928,-0.685762,-0.529254,-729.442749,-793.419861,374.022705
146,0,-0.333208,-0.687464,-0.51578,-729.229919,-793.264526,374.070862
147,0,-0.332278,-0.68759,-0.514484,-729.421753,-793.42865,374.080353
148,0,-0.347265,-0.685201,-0.540646,-729.452332,-793.385986,374.081848
149,0,-0.354205,-0.683611,-0.552611,-729.411011,-793.460693,374.136047
150,0,-0.361293,-0.682322,-0.565267,-729.420837,-793.445984,374.087646
151,0,-0.36939,-0.681428,-0.578465,-729.503601,-793.400574,374.054565
152,0,-0.384566,-0.678836,-0.604151,-729.458069,-793.419434,374.060181
153,0,-0.391306,-0.677679,-0.615677,-729.321167,-793.389709,374.144897
154,0,0.533301,-0.649616,0.962845,-727.912048,-792.775513,374.054047
155,0,0.531234,-0.649637,0.956626,-728.371948,-793.144958,374.010498
156,0,0.515727,-0.653758,0.931178,-728.369385,-793.153259,373.977142
157,0,-0.262447,-0.697237,-0.394433,-729.350708,-793.397888,374.091034
158,0,-0.268996,-0.695675,-0.40657,-729.38562,-793.436157,374.15979
159,0,-0.260926,-0.69718,-0.390211,-729.220581,-793.303955,374.159576
160,0,0.685821,-0.611773,1.241388,-727.119934,-792.936096,373.495697
161,0,0.695059,-0.609099,1.25721,-727.152161,-792.976807,373.497864
162,0,0.683998,-0.612627,1.242632,-726.863342,-792.943054,373.226929
163,0,0.800383,-0.569517,1.439599,-726.85199,-792.790466,373.211548
164,0,0.789618,-0.57292,1.423137,-726.854004,-792.901062,373.18454
165,0,0.793137,-0.57152,1.427758,-726.963013,-792.760559,373.157623
166,0,0.775751,-0.576499,1.410774,-727.110779,-792.470886,373.483459
167,0,0.769074,-0.584171,1.395227,-727.263184,-792.765503,373.716064
168,0,0.780639,-0.57609,1.406971,-726.928345,-792.862427,373.177826
169,0,0.777429,-0.577686,1.400658,-726.95874,-792.820312,373.193604
170,0,0.783246,-0.575898,1.410932,-726.913757,-792.797607,373.224579
171,0,0.77931,-0.576623,1.405963,-726.933533,-792.872925,373.174133
172,0,0.769669,-0.581369,1.388873,-726.875977,-792.825928,373.153992
173,0,0.766966,-0.582187,1.383916,-726.906128,-792.809265,373.193115
174,0,0.761588,-0.584005,1.374943,-726.895447,-792.86499,373.183319
175,0,0.813633,-0.569218,1.465325,-727.200439,-793.252136,373.177979
176,0,0.796975,-0.57587,1.436711,-727.162781,-793.274048,373.186768
177,0,0.780266,-0.58333,1.408132,-727.150635,-793.257629,373.177124
178,0,0.825421,-0.558065,1.483797,-726.895142,-792.809937,373.25
179,0,0.809221,-0.565021,1.455359,-726.873718,-792.833191,373.228424
180,0,0.793765,-0.571134,1.429947,-726.926392,-792.854187,373.234009
181,0,-0.291612,-0.696044,-0.454387,-729.822693,-793.662903,374.015167
182,0,-0.286447,-0.696732,-0.445772,-729.680237,-793.707825,374.115021
183,0,-0.281048,-0.697151,-0.437167,-729.715088,-793.751587,374.077271
184,0,0.540224,-0.655814,0.993104,-727.137024,-792.893127,373.507538
185,0,0.556691,-0.651934,1.020058,-727.170288,-792.933044,373.496155
186,0,0.570783,-0.648395,1.04436,-727.182739,-792.892395,373.483307
187,0,-0.849167,-0.549778,-1.430437,-728.953369,-793.590393,373.006378
188,0,-0.866796,-0.537821,-1.459082,-728.604065,-793.674683,373.570618
189,0,-0.876045,-0.533541,-1.47635,-728.696106,-793.625671,373.470306
190,0,-0.879563,-0.531828,-1.482931,-728.602905,-793.587219,373.5383
191,0,-0.87597,-0.534201,-1.476527,-728.514465,-793.583435,373.611908
