Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.75665,-0.640417,1.445434,-711.559082,-733.937866,376.481445
2,0,0.745834,-0.645846,1.423719,-711.640076,-734.030212,376.434021
3,0,0.735143,-0.650034,1.404476,-711.659241,-733.98407,376.473419
4,0,0.725562,-0.654866,1.386061,-711.636169,-733.981934,376.430725
5,0,0.719336,-0.657356,1.374237,-711.655029,-734.032959,376.47699
6,0,0.709992,-0.661462,1.3567,-711.722351,-734.005676,376.434326
7,0,0.708336,-0.671369,1.392138,-715.045715,-733.86676,377.228241
8,0,0.716993,-0.667672,1.407518,-715.082581,-733.871521,377.174622
9,0,0.728309,-0.662019,1.430007,-714.996521,-733.835022,377.222321
10,0,0.739311,-0.656003,1.45148,-715.064636,-733.854248,377.162109
11,0,0.759542,-0.645005,1.478578,-714.372253,-733.776611,377.674438
12,0,0.77303,-0.638771,1.503438,-714.446411,-733.804749,377.587189
13,0,0.785581,-0.632591,1.52784,-714.3927,-733.795654,377.681702
14,0,0.797797,-0.625175,1.550712,-714.348206,-733.783264,377.628143
15,0,0.806123,-0.621774,1.567951,-714.433899,-733.829834,377.613953
16,0,0.819331,-0.613934,1.589572,-714.402893,-733.744995,377.582031
17,0,0.826476,-0.609962,1.605911,-714.297852,-733.726807,377.643677
18,0,0.834295,-0.606318,1.621064,-714.384583,-733.744446,377.590546
19,0,0.842275,-0.601458,1.636207,-714.355042,-733.689636,377.569611
20,0,0.850374,-0.596483,1.651719,-714.351318,-733.686279,377.614502
21,0,0.866785,-0.586993,1.681601,-714.269348,-733.676025,377.583954
22,0,0.87421,-0.583023,1.696381,-714.407898,-733.736328,377.562805
23,0,0.882559,-0.578031,1.710424,-714.330872,-733.763123,377.607422
24,0,0.88981,-0.573872,1.725116,-714.409546,-733.767883,377.582916
25,0,0.895956,-0.570085,1.737013,-714.391846,-733.740784,377.567688
26,0,0.911355,-0.560199,1.767166,-714.37085,-733.672241,377.576355
27,0,0.920972,-0.555125,1.785308,-714.343262,-733.79187,377.597748
28,0,0.929007,-0.550401,1.799863,-714.389526,-733.790588,377.586731
29,0,0.943068,-0.541044,1.826179,-714.395447,-733.814941,377.618591
30,0,0.952373,-0.535032,1.845064,-714.356873,-733.77533,377.640656
31,0,0.964665,-0.526856,1.867493,-714.360291,-733.806519,377.61026
32,0,0.97012,-0.523287,1.878068,-714.38147,-733.846863,377.622375
33,0,0.974394,-0.520805,1.884172,-714.396179,-733.81604,377.613892
34,0,0.978697,-0.517499,1.894688,-714.425537,-733.814209,377.612854
35,0,0.983934,-0.514702,1.902997,-714.350891,-733.83551,377.610718
36,0,0.989943,-0.510296,1.914088,-714.384338,-733.845398,377.663452
37,0,0.994807,-0.506832,1.923373,-714.447632,-733.850464,377.592102
38,0,0.989036,-0.510006,1.91244,-714.41394,-733.805664,377.577179
39,0,0.993927,-0.506744,1.922606,-714.426086,-733.80658,377.537354
40,0,0.986748,-0.511961,1.908783,-714.346558,-733.81604,377.6091
41,0,0.984378,-0.513668,1.90286,-714.354187,-733.766296,377.56308
42,0,0.979745,-0.51646,1.894933,-714.447876,-733.765137,377.557037
43,0,0.982248,-0.51479,1.899894,-714.455139,-733.790771,377.568085
44,0,0.978568,-0.516795,1.893662,-714.312134,-733.77002,377.617645
45,0,0.985311,-0.512595,1.904682,-714.333862,-733.797974,377.590088
46,0,0.989325,-0.509722,1.912392,-714.309509,-733.729675,377.591675
47,0,0.994927,-0.505289,1.923107,-714.411377,-733.697693,377.494537
48,0,0.989248,-0.50962,1.912971,-714.356445,-733.716003,377.573029
